Species,psychrophilic,mesophilic,thermophilic,aerobe,anaerobe,obligate aerobe,obligate anaerobe,facultative aerobe,facultative anaerobe,microaerophile,aerotolerant
Nocardia donostiensis,1,1,0,,,,,,,,
Nocardia stercoris,0,1,0,,,,,,,,
Collinsella tanakaei,,,,0,1,0,1,0,0,0,0
Collinsella intestinalis,0,1,0,0,2,0,0,0,0,0,0
Collinsella stercoris,0,1,0,0,2,0,0,0,0,0,0
Collinsella aerofaciens,0,1,0,,,,,,,,
Intestinimonas massiliensis,0,1,0,,,,,,,,
Intestinimonas butyriciproducens,,,,0,4,0,0,0,0,0,0
Pelagibacterium montanilacus,,,,2,0,0,0,0,0,0,0
Pelagibacterium halotolerans,0,1,0,,,,,,,,
Stappia indica,0,1,0,,,,,,,,
Flavisolibacter tropicus,0,1,0,,,,,,,,
Flavisolibacter ginsenosidimutans,0,1,0,,,,,,,,
Flavisolibacter ginsengisoli,0,1,0,2,0,0,0,0,0,0,0
Wolinella succinogenes,0,1,0,0,2,0,0,0,0,0,0
Citricoccus muralis,0,1,0,,,,,,,,
Pannonibacter carbonis,,,,1,0,0,0,0,1,0,0
Pannonibacter indicus,0,1,0,,,,,,,,
Pannonibacter phragmitetus,,,,1,0,0,0,0,1,0,0
Edaphobacter aggregans,0,1,0,,,,,,,,
Edaphobacter modestus,1,1,0,,,,,,,,
Aliicoccus persicus,1,1,0,,,,,,,,
Sebaldella termitidis,0,1,0,,,,,,,,
Psychrobacter pasteurii,0,1,0,,,,,,,,
Psychrobacter piscatorii,0,1,0,,,,,,,,
Psychrobacter lutiphocae,1,0,0,2,0,0,0,0,0,0,0
Psychrobacter pacificensis,0,1,0,,,,,,,,
Psychrobacter arcticus,0,1,0,,,,,,,,
Psychrobacter cryohalolentis,1,0,0,,,,,,,,
Psychrobacter aquaticus,1,0,0,,,,,,,,
Psychrobacter cibarius,0,1,0,2,0,0,0,0,0,0,0
